gene_id	diff	count_min
b5v5_00455	14	643
b5v5_01093	-8	643
b5v5_01065	-14	643
b5v5_00291	33	642
b5v5_00790	-5	642
b5v5_00692	-14	642
b5v5_00969	-10	642
b5v5_00950	-25	603
b5v5_00274	-16	642
b5v5_00302	-3	642
b5v5_02245	-16	642
b5v5_02848	-9	642
b5v5_00433	-10	642
b5v5_00376	34	641
b5v5_01073	-20	641
b5v5_00889	-13	641
b5v5_02496	-6	641
b5v5_00150	-3.5	641
b5v5_00673	-5	641
b5v5_00855	-10	641
b5v5_02066	-16	641
b5v5_00434	-9	640
b5v5_01401	-14	640
b5v5_01454	-13	640
b5v5_01135	2	282
b5v5_02144	58	640
b5v5_00268	-13	639
b5v5_00041	2	639
b5v5_00405	-1	639
b5v5_00533	30	639
b5v5_00283	-7	639
b5v5_00067	1	639
b5v5_00833	-15	639
b5v5_00473	45	639
b5v5_00877	-16	638
b5v5_02977	-15	638
b5v5_00809	-16	638
b5v5_00457	-15	638
b5v5_00885	-3	638
b5v5_01046	-18	638
b5v5_01565	-16	638
b5v5_01182	-4	638
b5v5_01531	-12	638
b5v5_03360	-9	637
b5v5_02002	-3	637
b5v5_00263	-17	637
b5v5_00599	-12	637
b5v5_00344	-4	637
b5v5_00428	2	637
b5v5_00173	-10	637
b5v5_00228	-3	637
b5v5_00824	-4	636
b5v5_00127	-4	636
b5v5_02179	-16	636
b5v5_00798	-10	636
b5v5_00372	-6	636
b5v5_00124	-15	636
b5v5_00197	2	636
b5v5_01119	-14	636
b5v5_01018	-17	636
b5v5_00873	-14	636
b5v5_02367	-5	636
b5v5_00808	14	636
b5v5_00165	-13	635
b5v5_02563	-14	635
b5v5_00506	14	635
b5v5_00326	-13	635
b5v5_00254	-9	635
b5v5_00347	-19	635
b5v5_04725	-15	635
b5v5_00667	61	184
b5v5_01163	-14	286
b5v5_00078	42	635
b5v5_02618	-4	635
b5v5_00528	46	635
b5v5_02203	-14	507
b5v5_00755	-13	635
b5v5_00471	8	635
b5v5_02323	0	634
b5v5_00100	-6.5	634
b5v5_00697	-16	634
b5v5_00350	-6	634
b5v5_00416	-20	634
b5v5_01672	-10	634
b5v5_00879	-8	634
b5v5_00270	-3	634
b5v5_00575	-7	634
b5v5_01265	-8	634
b5v5_00487	-13	633
b5v5_02197	-14	633
b5v5_00464	40	515
b5v5_01122	-14	633
b5v5_00896	-17	589
b5v5_00438	-8	633
b5v5_02119	-14	633
b5v5_02177	-18	633
b5v5_01704	-9	633
b5v5_01740	-11	633
b5v5_00482	-11	633
b5v5_00192	-7	633
b5v5_00888	-10	632
b5v5_00679	-11	632
b5v5_01717	14	603
b5v5_00378	-11	632
b5v5_02483	-17	632
b5v5_02299	-20	556
b5v5_00045	-16	631
b5v5_00529	-14	631
b5v5_04111	-17	631
b5v5_00593	-10	631
b5v5_00748	-16	631
b5v5_02988	-7	631
b5v5_00699	-4	631
b5v5_00643	-19	631
b5v5_02593	-7	630
b5v5_01208	-13	630
b5v5_00299	-17	630
b5v5_00531	-3	630
b5v5_01543	-13	630
b5v5_01292	-15	630
b5v5_00099	-15	630
b5v5_02531	-16	630
b5v5_01959	32	630
b5v5_00203	-12	630
b5v5_00159	64	630
b5v5_02143	-9	629
b5v5_00056	0	602
b5v5_00491	-12	629
b5v5_02362	-8	629
b5v5_00414	-16	629
b5v5_00539	-13	629
b5v5_01516	-21	629
b5v5_00579	-7	629
b5v5_00449	1	629
b5v5_01476	-16	629
b5v5_03644	-17	629
b5v5_03888	-14	629
b5v5_01003	6	629
b5v5_00974	-5	629
b5v5_04779	12.5	628
b5v5_00131	0	628
b5v5_01147	-4	628
b5v5_03082	-7	628
b5v5_00827	-15	579
b5v5_02213	-13	628
b5v5_00510	-12	628
b5v5_00141	18	628
b5v5_01326	29	628
b5v5_02267	8	628
b5v5_00763	-14	628
b5v5_04985	-19	628
b5v5_00367	-17	628
b5v5_00862	-18	628
b5v5_00329	-4	627
b5v5_01964	-7	627
b5v5_01107	-10	627
b5v5_01066	113.5	627
b5v5_00314	-14	627
b5v5_00336	-15	627
b5v5_05051	-15	627
b5v5_02030	-15	627
b5v5_00288	-6	627
b5v5_01142	-5	626
b5v5_00481	-14	626
b5v5_00292	-15	626
b5v5_00802	14	626
b5v5_01793	-10	626
b5v5_00794	-7	626
b5v5_01687	-13	626
b5v5_00353	-15	626
b5v5_02090	-13	626
b5v5_01645	-13	626
b5v5_01342	-6	625
b5v5_00360	-5	625
b5v5_01364	-19	625
b5v5_00701	-10	625
b5v5_01243	-2	625
b5v5_00769	-13	625
b5v5_01052	-14	625
b5v5_00583	9	625
b5v5_00114	-17	625
b5v5_01402	2	625
b5v5_00266	15	625
b5v5_00073	-4	625
b5v5_01166	-4	625
b5v5_00229	-13	625
b5v5_01528	-6	625
b5v5_00523	-2	625
b5v5_00686	-13	624
b5v5_01424	2	624
b5v5_00687	-11	624
b5v5_00883	-10	624
b5v5_00807	-12	624
b5v5_01637	69.5	242
b5v5_02076	-2	624
b5v5_01367	8	624
b5v5_01789	-7	624
b5v5_01188	-13	503
b5v5_01608	-10	624
b5v5_01937	-6	623
b5v5_00010	22.5	623
b5v5_00565	-18	623
b5v5_02465	-7	623
b5v5_01584	17	623
b5v5_01176	-10	623
b5v5_00388	-15	623
b5v5_04226	-15	623
b5v5_02523	-4	574
b5v5_00355	-11	623
b5v5_00651	-13	623
b5v5_01380	-3	622
b5v5_01087	-9	622
b5v5_00985	37	622
b5v5_01468	-11	622
b5v5_00943	-14	622
b5v5_01996	-8	622
b5v5_00081	17.5	622
b5v5_00652	9	622
b5v5_01153	-10	622
b5v5_00214	-7	622
b5v5_02047	-14	622
b5v5_02896	-16	622
b5v5_00938	-15	622
b5v5_03372	-15	622
b5v5_01429	-15	622
b5v5_00772	1.5	622
b5v5_01442	1	622
b5v5_02111	11	551
b5v5_02472	4	621
b5v5_00986	-11	621
b5v5_01214	-13	621
b5v5_00665	-7	448
b5v5_00653	-14	621
b5v5_01070	-11	621
b5v5_00856	-1	621
b5v5_00403	-12	621
b5v5_01075	-15	621
b5v5_00370	-11	621
b5v5_00635	16	621
b5v5_00591	-4	620
b5v5_00382	-19	620
b5v5_07454	5	620
b5v5_00172	-14	620
b5v5_00759	-18	620
b5v5_00671	3	620
b5v5_00379	-15	620
b5v5_00342	53	620
b5v5_00332	-5	619
b5v5_00202	-9	619
b5v5_00956	-15	619
b5v5_01550	-18	619
b5v5_00164	-12	619
b5v5_02337	2	619
b5v5_00668	-7	619
b5v5_00486	-12	619
b5v5_00180	4	619
b5v5_00158	6	619
b5v5_01634	-6	619
b5v5_00277	-13	619
b5v5_01623	-1	619
b5v5_00232	-19	619
b5v5_01797	-14	619
b5v5_01098	-7	619
b5v5_00271	1	618
b5v5_01363	-18	618
b5v5_00059	-15	618
b5v5_00536	-15	618
b5v5_00521	-8	618
b5v5_01728	-17	618
b5v5_00971	2	618
b5v5_00830	-13	618
b5v5_00634	82.5	200
b5v5_00511	-3	617
b5v5_00330	-13	617
b5v5_01756	-7	617
b5v5_02109	-13	617
b5v5_01217	-2.5	617
b5v5_00716	-11	617
b5v5_01848	-9	617
b5v5_01443	-3	617
b5v5_00743	-11	617
b5v5_06697	-4	617
b5v5_00394	18	595
b5v5_00505	-6	617
b5v5_02240	0	617
b5v5_03741	-10	616
b5v5_00874	-13	616
b5v5_01379	-16	616
b5v5_02123	-10	616
b5v5_02452	-2	616
b5v5_00714	-3	616
b5v5_00309	4	616
b5v5_01192	-15	616
b5v5_00717	-4	616
b5v5_00898	-16	392
b5v5_00995	-15	616
b5v5_00324	-13	616
b5v5_05278	13	596
b5v5_01736	20	616
b5v5_00604	-12	615
b5v5_01544	-6	615
b5v5_01567	4	615
b5v5_02993	-14	615
b5v5_00837	-6	615
b5v5_01466	5	615
b5v5_01121	-14	615
b5v5_01144	-10	615
b5v5_00841	96	499
b5v5_01180	-9	615
b5v5_01159	-2	615
b5v5_00312	9	615
b5v5_03738	56	560
b5v5_01343	-13	615
b5v5_00130	-0.5	615
b5v5_04610	-6	615
b5v5_01546	-10	615
b5v5_00723	-12	615
b5v5_01444	-17	615
b5v5_00871	-15	615
b5v5_00615	-8	615
b5v5_01297	6	614
b5v5_01241	-3	614
b5v5_02432	-9	614
b5v5_01095	-13	614
b5v5_01076	-14	614
b5v5_01854	-10	614
b5v5_01302	-17	614
b5v5_02622	10	614
b5v5_01329	-12	614
b5v5_03081	-16	614
b5v5_01764	17	614
b5v5_01470	-12	614
b5v5_02396	-6	614
b5v5_01156	14	614
b5v5_01094	-15	614
b5v5_00722	-1	613
b5v5_01767	-11	613
b5v5_01127	44.5	613
b5v5_00600	-8	613
b5v5_01120	-12	613
b5v5_01154	-14	613
b5v5_00663	-16	613
b5v5_02652	-10	613
b5v5_00859	-17	613
b5v5_00033	-15	613
b5v5_02666	-20	613
b5v5_01304	-9	613
b5v5_03964	-14	613
b5v5_00375	-11	613
b5v5_03375	-8	613
b5v5_00887	18.5	613
b5v5_02913	-7	612
b5v5_00648	-16	612
b5v5_05377	-10	612
b5v5_01392	-18	612
b5v5_00359	67	612
b5v5_00715	-14	569
b5v5_00245	-15	612
b5v5_04793	-13	612
b5v5_00437	-11	612
b5v5_01186	2	612
b5v5_01713	-14	611
b5v5_00426	-14	611
b5v5_00820	-8	611
b5v5_00853	0	611
b5v5_01858	-11	611
b5v5_00620	-10	611
b5v5_01099	-10	611
b5v5_00732	-9	611
b5v5_01946	-17	423
b5v5_00247	-17	611
b5v5_01965	-11	611
b5v5_05170	49	611
b5v5_00282	35	610
b5v5_02087	-18	610
b5v5_04885	-15	610
b5v5_00287	-8	610
b5v5_03599	-1	610
b5v5_01179	-11	610
b5v5_01293	-16	610
b5v5_01502	15	610
b5v5_02345	-9	610
b5v5_07313	-13	561
b5v5_02471	-13	610
b5v5_07552	-11	610
b5v5_02348	-7	609
b5v5_02436	-12	442
b5v5_00621	-9	609
b5v5_00384	-15	609
b5v5_01522	43	609
b5v5_00338	-9	609
b5v5_00684	-6	609
b5v5_02322	-11	609
b5v5_00998	-15	609
b5v5_00513	-5	457
b5v5_01384	8	609
b5v5_01862	9	542
b5v5_00313	0	589
b5v5_03807	-5	608
b5v5_03098	-2	608
b5v5_01525	-7	608
b5v5_01463	-14	608
b5v5_02257	0	608
b5v5_00046	3	608
b5v5_02927	-2	517
b5v5_00484	-13	608
b5v5_00160	-10	608
b5v5_02401	-9	608
b5v5_00249	-3	608
b5v5_02844	-15	608
b5v5_00564	-13	608
b5v5_00698	-12	608
b5v5_01943	31	608
b5v5_02475	-17	608
b5v5_00644	-16	608
b5v5_01545	34	567
b5v5_00947	-5	608
b5v5_00607	-13	607
b5v5_01896	-7	607
b5v5_00805	124.5	607
b5v5_00707	2	607
b5v5_03606	-4	607
b5v5_01533	-11	607
b5v5_01625	1	607
b5v5_00427	-16	607
b5v5_00589	-9	607
b5v5_00814	-14	607
b5v5_00494	-15	607
b5v5_01769	-16	607
b5v5_00626	-8	607
b5v5_02004	3	280
b5v5_01374	-13	607
b5v5_01684	-12	541
b5v5_00219	18	606
b5v5_01284	-11	606
b5v5_01091	-13	485
b5v5_01457	3	606
b5v5_02018	-18	606
b5v5_01178	-12	606
b5v5_02474	0	606
b5v5_01423	-14	606
b5v5_00828	-16	606
b5v5_04814	-15.5	606
b5v5_02060	-19	606
b5v5_04257	-10	606
b5v5_01337	-6.5	606
b5v5_01277	-15	606
b5v5_01626	-10	606
b5v5_09914	-12	606
b5v5_01686	2	605
b5v5_00730	-8	605
b5v5_02017	-6	605
b5v5_00420	-3	605
b5v5_01369	10	605
b5v5_00365	15	605
b5v5_01788	-14	605
b5v5_01254	-11	605
b5v5_03665	-10	605
b5v5_00641	8	284
b5v5_04123	-13	589
b5v5_01771	-2	605
b5v5_01309	-12	605
b5v5_01036	-1	605
b5v5_01173	-7	605
b5v5_01318	-9	605
b5v5_01800	-12	604
b5v5_00631	-13	604
b5v5_00781	-13	604
b5v5_04374	-15	604
b5v5_03752	-9	604
b5v5_01064	-3	604
b5v5_00320	-9	604
b5v5_00090	-9	564
b5v5_00358	0	604
b5v5_02103	-15	604
b5v5_01682	-13	604
b5v5_01376	-15.5	419
b5v5_01509	26	604
b5v5_01868	-11	603
b5v5_00374	-14	603
